study_id,test_article,subject_id,group_id,group_name,group_type,reading_name,reading_value
AS110,C-00012320,S8,G1,Vehicle,negative,Total Score,5.239
AS110,C-00012320,S9,G1,Vehicle,negative,Total Score,6.319
AS110,C-00012320,S10,G1,Vehicle,negative,Total Score,5.751
AS110,C-00012320,S11,G2,10 mp/kg,test,Total Score,4.897
AS110,C-00012320,S12,G2,10 mp/kg,test,Total Score,6.189
AS110,C-00012320,S13,G2,10 mp/kg,test,Total Score,6.572
AS110,C-00012320,S14,G2,10 mp/kg,test,Total Score,5.441
AS110,C-00012320,S15,G2,10 mp/kg,test,Total Score,6.737
AS110,C-00012320,S16,G2,10 mp/kg,test,Total Score,6.38
AS110,C-00012320,S17,G2,10 mp/kg,test,Total Score,6.541
AS110,C-00012320,S18,G2,10 mp/kg,test,Total Score,5.916
AS110,C-00012320,S19,G2,10 mp/kg,test,Total Score,7.921
AS110,C-00012320,S20,G2,10 mp/kg,test,Total Score,6.338
AS110,C-00012320,S21,G3,30 mg/kg,test,Total Score,8.883
AS110,C-00012320,S22,G3,30 mg/kg,test,Total Score,6.612
AS110,C-00012320,S23,G3,30 mg/kg,test,Total Score,6.891
AS110,C-00012320,S24,G3,30 mg/kg,test,Total Score,8.702
AS110,C-00012320,S25,G3,30 mg/kg,test,Total Score,7.524
AS110,C-00012320,S26,G3,30 mg/kg,test,Total Score,7.9
AS110,C-00012320,S27,G3,30 mg/kg,test,Total Score,8.615
AS110,C-00012320,S28,G3,30 mg/kg,test,Total Score,7.63
AS110,C-00012320,S29,G3,30 mg/kg,test,Total Score,6.703
AS110,C-00012320,S30,G3,30 mg/kg,test,Total Score,6.732
AS110,C-00012320,S31,G4,100 mg/kg,test,Total Score,9.437
AS110,C-00012320,S32,G4,100 mg/kg,test,Total Score,11.152
AS110,C-00012320,S33,G4,100 mg/kg,test,Total Score,10.433
AS110,C-00012320,S34,G4,100 mg/kg,test,Total Score,8.757
AS110,C-00012320,S35,G4,100 mg/kg,test,Total Score,10.598
AS110,C-00012320,S36,G4,100 mg/kg,test,Total Score,9.874
AS110,C-00012320,S37,G4,100 mg/kg,test,Total Score,10.771
AS110,C-00012320,S38,G4,100 mg/kg,test,Total Score,9.405
AS110,C-00012320,S39,G4,100 mg/kg,test,Total Score,9.885
AS110,C-00012320,S40,G4,100 mg/kg,test,Total Score,10.802
AS120,C-00012320,S1,G1,Vehicle,negative,Total Score,11.624
AS120,C-00012320,S2,G1,Vehicle,negative,Total Score,9.388
AS120,C-00012320,S3,G1,Vehicle,negative,Total Score,9.472
AS120,C-00012320,S4,G1,Vehicle,negative,Total Score,8.927
AS120,C-00012320,S5,G1,Vehicle,negative,Total Score,10.865
AS120,C-00012320,S6,G1,Vehicle,negative,Total Score,7.698
AS120,C-00012320,S7,G1,Vehicle,negative,Total Score,11.745
AS120,C-00012320,S8,G1,Vehicle,negative,Total Score,9.239
AS120,C-00012320,S9,G1,Vehicle,negative,Total Score,10.319
AS120,C-00012320,S10,G1,Vehicle,negative,Total Score,9.751
AS120,C-00012320,S11,G2,1 hr,test,Total Score,11.47
AS120,C-00012320,S12,G2,1 hr,test,Total Score,7.947
AS120,C-00012320,S13,G2,1 hr,test,Total Score,9.685
AS120,C-00012320,S14,G2,1 hr,test,Total Score,9.623
AS120,C-00012320,S15,G2,1 hr,test,Total Score,11.141
AS120,C-00012320,S16,G2,1 hr,test,Total Score,8.908
AS120,C-00012320,S17,G2,1 hr,test,Total Score,9.835
AS120,C-00012320,S18,G2,1 hr,test,Total Score,9.13
AS120,C-00012320,S19,G2,1 hr,test,Total Score,10.05
AS120,C-00012320,S20,G2,1 hr,test,Total Score,10.59
AS120,C-00012320,S21,G3,4 hr,test,Total Score,13.395
AS120,C-00012320,S22,G3,4 hr,test,Total Score,15.64
AS120,C-00012320,S23,G3,4 hr,test,Total Score,15.397
AS120,C-00012320,S24,G3,4 hr,test,Total Score,14.998
AS120,C-00012320,S25,G3,4 hr,test,Total Score,15.396
AS120,C-00012320,S26,G3,4 hr,test,Total Score,13.812
AS120,C-00012320,S27,G3,4 hr,test,Total Score,14.372
AS120,C-00012320,S28,G3,4 hr,test,Total Score,13.559
AS120,C-00012320,S29,G3,4 hr,test,Total Score,14.227
AS120,C-00012320,S30,G3,4 hr,test,Total Score,15.026
